,year,gender,place,place_gender,name,bib,division,half,finish
36,2019,W,679,73,"Bain, Shannon (USA)",19115,35-39,01:22:54,02:48:20
37,2019,W,689,75,"Li, Anna (USA)",19123,30-34,01:23:48,02:48:25
38,2019,W,698,77,"Rock, Jen (USA)",622,25-29,01:22:49,02:48:30
39,2019,W,710,79,"Lesiewicz, Karen (USA)",546,25-29,01:22:20,02:48:44
40,2019,W,761,81,"Buchanan, Carolyn (CAN)",2138,20-24,01:28:07,02:49:20
41,2019,W,793,83,"Dos Santos, Joci (BRA)",17136,30-34,01:25:02,02:49:51
42,2019,W,800,85,"Wiemerslage, Julie (USA)",685,25-29,01:22:08,02:49:57
43,2019,W,814,87,"Dolloff, Georgia (USA)",11254,30-34,01:23:57,02:50:06
44,2019,W,824,89,"Langlois, Catalina (CHI)",540,35-39,01:24:51,02:50:16
45,2019,W,826,91,"Mountford, Beth (CAN)",577,25-29,01:25:42,02:50:16
46,2019,W,852,93,"De Jong, Catherine (USA)",14072,30-34,01:24:39,02:50:46
47,2019,W,855,95,"Klosterhoff, Kayla (USA)",9013,25-29,01:24:46,02:50:46
48,2019,W,880,97,"Ward, Marissa (USA)",683,20-24,01:23:42,02:51:09
49,2019,W,884,99,"Hughes, Jennifer (USA)",507,40-44,01:22:50,02:51:13
50,2019,W,887,101,"Busman, Meredith (USA)",403,25-29,01:23:43,02:51:16
51,2019,W,903,103,"Fitzgerald, Leah (AUS)",1118,35-39,01:23:12,02:51:26
52,2019,W,944,105,"Livingood, Ashley (USA)",550,25-29,01:22:20,02:52:00
53,2019,W,961,107,"Gunson, Kate (USA)",478,20-24,01:25:01,02:52:18
54,2019,W,976,109,"Windish, Allison (USA)",12419,25-29,01:22:46,02:52:29
55,2019,W,1001,111,"Breindel, Tressa (USA)",397,40-44,01:23:21,02:52:44
56,2019,W,1011,113,"Mcfarlane, Rachel (USA)",14261,25-29,01:24:43,02:52:48
57,2019,W,1033,115,"Pearson, Jennifer (USA)",597,25-29,01:23:44,02:53:04
58,2019,W,1057,117,"Rios-Rodriguez, Perla (USA)",617,40-44,01:23:26,02:53:20
59,2019,W,1080,119,"Gann, Laura (USA)",9096,25-29,01:24:05,02:53:36
60,2019,W,1104,121,"Kincaid, Stacey (USA)",528,40-44,01:27:11,02:53:52
61,2019,W,1120,123,"Turcios, Aida (ESA)",3043,30-34,01:26:21,02:54:02
62,2019,W,1126,125,"Young, Lindsey (USA)",697,35-39,01:27:04,02:54:04
63,2019,W,1135,127,"Costello, Anna (USA)",428,25-29,01:27:36,02:54:09
64,2019,W,1153,129,"Giroux, Veronique (CAN)",1199,25-29,01:27:34,02:54:18
65,2019,W,1183,131,"Aish, Christy (USA)",353,40-44,01:22:08,02:54:32
66,2019,W,1193,133,"Montes, Columba (MEX)",724,40-44,01:24:33,02:54:39
67,2019,W,1220,135,"Hillenbrand, Michelle (USA)",498,25-29,01:28:06,02:54:51
68,2019,W,1249,137,"Prendergast, Kristen (USA)",8090,35-39,01:29:05,02:55:10
69,2019,W,1266,139,"Bock, Heidi (USA)",392,30-34,01:25:21,02:55:21
70,2019,W,1303,141,"Beucler, Amanda (USA)",12180,25-29,01:26:43,02:55:39
71,2019,W,1311,143,"Natalini, Amy (USA)",581,35-39,01:27:58,02:55:44
72,2019,W,1322,145,"Vaituleviciute, Jone (LTU)",5410,25-29,01:28:30,02:55:48
73,2019,W,1332,147,"Heintz, Laura (USA)",13058,40-44,01:25:58,02:55:58
74,2019,W,1339,149,"Perkins, Ruth (USA)",599,35-39,01:22:00,02:56:00
75,2019,W,1357,151,"Wu, Nini (CAN)",1193,40-44,01:25:29,02:56:08
76,2019,W,1389,153,"Jackson, Sarah (USA)",511,30-34,01:25:19,02:56:19
77,2019,W,1439,155,"Sowinski, Rachel (USA)",10248,20-24,01:26:50,02:56:44
78,2019,W,1488,157,"Hocker, Lydia (USA)",501,25-29,01:26:35,02:57:07
79,2019,W,1500,159,"Beluco, Barbara (BRA)",21531,30-34,01:26:17,02:57:12
80,2019,W,1542,161,"Anderson, Katie (CAN)",2137,20-24,01:29:48,02:57:26
81,2019,W,1556,163,"Carleton, Tamma (USA)",10070,30-34,01:23:18,02:57:35
82,2019,W,1560,165,"Bogan, Dana (USA)",9086,30-34,01:27:02,02:57:37
83,2019,W,1589,167,"Golek, Diana (POL)",5095,35-39,01:29:12,02:57:51
84,2019,W,1593,169,"Hruska, Jessica (USA)",11163,35-39,01:26:32,02:57:52
85,2019,W,1614,171,"Olsen, Lindsay (USA)",11193,25-29,01:28:56,02:58:01
86,2019,W,1636,173,"Miao, Jing (CHN)",9120,25-29,01:28:14,02:58:12
87,2019,W,1644,175,"Kolasinski, Larissa (USA)",534,20-24,01:24:33,02:58:16
88,2019,W,1662,177,"Salem, Amory (USA)",633,45-49,01:28:08,02:58:22
89,2019,W,1666,179,"Chaney, Angela (USA)",414,30-34,01:26:49,02:58:25
90,2019,W,1719,181,"Clark, Bethany (USA)",13158,30-34,01:30:35,02:58:41
91,2019,W,1731,183,"Fonseca, Alice Yuri (BRA)",17137,25-29,01:28:36,02:58:45
92,2019,W,1744,185,"Stewart, Katie (USA)",9025,30-34,01:29:36,02:58:48
93,2019,W,1761,187,"Kruger, Annerie (RSA)",6041,35-39,01:28:33,02:58:53
94,2019,W,1774,189,"Bueno, Rafaela (BRA)",17134,25-29,01:30:38,02:58:56
95,2019,W,1790,191,"Waters, Jamie (USA)",11084,30-34,01:28:57,02:58:59
96,2019,W,1804,193,"Greene, Megan (USA)",471,40-44,01:27:27,02:59:04
97,2019,W,1816,195,"Strutz, Nicole (USA)",14437,25-29,01:29:51,02:59:08
98,2019,W,1869,197,"Laureano, Veronica (MEX)",11023,35-39,01:29:02,02:59:22
99,2019,W,1897,199,"Chambers, Christina (USA)",413,30-34,01:28:18,02:59:31
100,2019,W,1909,201,"Falk, Frida (SWE)",5077,35-39,01:29:07,02:59:36
101,2019,W,1919,203,"Bourquin, Olivia (USA)",14494,20-24,01:30:10,02:59:39
102,2019,W,1955,205,"Mangold, Saskia (ITA)",3094,30-34,01:29:19,02:59:49
103,2019,W,2006,207,"Pellegrino, Kelsey (USA)",13124,25-29,01:28:38,03:00:06
104,2019,W,2023,209,"Fukushima, Mai (JPN)",17140,30-34,01:29:23,03:00:20
105,2019,W,2030,211,"Seo, Jenny (CAN)",2145,35-39,01:29:36,03:00:26
106,2019,W,2097,213,"Jiang, Sunny (USA)",9303,50-54,01:29:14,03:01:07
107,2019,W,2103,215,"Bonde, Rikke (DEN)",5279,30-34,01:30:31,03:01:09
108,2019,W,2107,217,"Avers, Emily (USA)",364,30-34,01:26:09,03:01:12
109,2019,W,2115,219,"Bardach, Courtney (USA)",12005,30-34,01:28:46,03:01:17
110,2019,W,2148,221,"Ferse, Caroline (GER)",3235,30-34,01:29:47,03:01:39
111,2019,W,2158,223,"Hall, Kaitlyn (USA)",13057,35-39,01:31:46,03:01:44
112,2019,W,2174,225,"Dzibela, Tracy (CAN)",451,40-44,01:30:36,03:01:52
113,2019,W,2186,227,"Crowe, Heather (USA)",433,25-29,01:27:05,03:02:02
114,2019,W,2199,229,"Rasch, Silvana (GUA)",612,40-44,01:28:08,03:02:12
115,2019,W,2232,231,"Trachsel, Rebecca (USA)",670,40-44,01:29:38,03:02:32
116,2019,W,2240,233,"Cordes, Lindsay (USA)",425,35-39,01:31:43,03:02:39
117,2019,W,2263,235,"Gilson, Erin (USA)",4387,35-39,01:30:41,03:02:50
118,2019,W,2270,237,"Qamar, Aisha (USA)",10006,30-34,01:29:24,03:02:51
119,2019,W,2292,239,"Takazawa, Masumi (JPN)",660,40-44,01:28:42,03:03:03
120,2019,W,2303,241,"Crawford, Jenna (USA)",1011,25-29,01:30:20,03:03:13
121,2019,W,2342,243,"Magato, Elizabeth (USA)",10219,40-44,01:31:54,03:03:29
122,2019,W,2382,245,"Bohane, Betty (GBR)",8059,30-34,01:31:30,03:03:47
123,2019,W,2400,247,"Amidon, Elizabeth (USA)",10055,40-44,01:29:47,03:03:58
124,2019,W,2408,249,"Friis, Lise (DEN)",3036,45-49,01:28:33,03:04:03
125,2019,W,2417,251,"Taylor, Vicki (GBR)",5338,45-49,01:29:32,03:04:07
126,2019,W,2441,253,"Gabb, Ania (GBR)",7059,35-39,01:27:41,03:04:19
127,2019,W,2475,255,"Olvera, Marisol (MEX)",5030,40-44,01:31:04,03:04:30
128,2019,W,2483,257,"Boynton, Mandy (USA)",13182,35-39,01:29:07,03:04:34
129,2019,W,2488,259,"Narvaez, Paula (BRA)",17135,35-39,01:32:34,03:04:35
130,2019,W,2497,261,"Zhou, Xi (CHN)",3455,40-44,01:31:05,03:04:39
131,2019,W,2507,263,"Billen, Marie (BEL)",9034,35-39,01:30:43,03:04:44
132,2019,W,2550,265,"Gruman, Maeluen (USA)",474,40-44,01:29:27,03:05:06
133,2019,W,2574,267,"Mallory, Sarah (USA)",6303,25-29,01:29:30,03:05:20
134,2019,W,2587,269,"Silva, Madeleine (USA)",10705,20-24,01:32:15,03:05:29
135,2019,W,2590,271,"Espinosa Castro, Aura (MEX)",5447,30-34,01:31:58,03:05:29
136,2019,W,2593,273,"Estrada Ramirez, Lilia Paulina (MEX)",20166,25-29,01:27:42,03:05:32
137,2019,W,2599,275,"Black, Sara (GBR)",5278,45-49,01:33:36,03:05:34
138,2019,W,2602,277,"Paylor, Jacqueline (USA)",11051,20-24,01:31:19,03:05:35
139,2019,W,2616,279,"Hawkins, Kristie (USA)",11005,35-39,01:30:11,03:05:42
140,2019,W,2638,281,"Hanley, Jessica (USA)",10251,30-34,01:32:22,03:05:50
141,2019,W,2647,283,"Staton, Pamela (USA)",725,30-34,01:27:05,03:05:54
142,2019,W,2653,285,"Vavrek, Aimee (USA)",6231,30-34,01:31:40,03:05:59
143,2019,W,2667,287,"Veit, Kristen (USA)",9079,25-29,01:32:24,03:06:11
144,2019,W,2675,289,"Chirkina, Anna (RUS)",4322,30-34,01:32:37,03:06:14
145,2019,W,2699,291,"Goin, Kim (USA)",11438,30-34,01:32:30,03:06:27
146,2019,W,2707,293,"Lecaillie, Mathilde (BEL)",1567,20-24,01:32:42,03:06:30
147,2019,W,2721,295,"Kohlitz, Shannon (USA)",8086,30-34,01:33:32,03:06:33
148,2019,W,2733,297,"Cushman, Anne (USA)",14014,40-44,01:29:16,03:06:40
149,2019,W,2746,299,"Sobrino, Karen (RSA)",7007,45-49,01:31:15,03:06:47
150,2019,W,2752,301,"Hintz, Lauren (USA)",12338,25-29,01:33:05,03:06:53
151,2019,W,2761,303,"Garcia, Sabrina (BRA)",20213,30-34,01:33:17,03:06:56
152,2019,W,2796,305,"Eakin, Laura (USA)",11121,35-39,01:34:55,03:07:13
153,2019,W,2809,307,"Carr, Sharon (USA)",10365,30-34,01:33:16,03:07:18
154,2019,W,2838,309,"Marrison, Jessica (GBR)",5224,40-44,01:31:57,03:07:27
155,2019,W,2843,311,"Peill, Laura (CAN)",1315,25-29,01:35:35,03:07:28
156,2019,W,2878,313,"Woods, Ashley (USA)",8325,30-34,01:32:51,03:07:40
157,2019,W,2887,315,"Quick, Kara (USA)",14491,40-44,01:34:43,03:07:43
158,2019,W,2905,317,"Brathe, Janicke (NOR)",18166,45-49,01:32:36,03:07:50
159,2019,W,2909,319,"Bahena, Andrea (MEX)",25291,25-29,01:32:41,03:07:51
160,2019,W,2913,321,"Palmer, Michele (BRA)",11362,35-39,01:26:15,03:07:54
161,2019,W,2932,323,"Van Den Hemel, Kalleigh (NED)",18197,25-29,01:34:18,03:08:00
162,2019,W,2935,325,"Gonthier, Lucie (CAN)",2119,40-44,01:32:47,03:08:01
163,2019,W,2948,327,"Bashaw, Jessica (USA)",372,35-39,01:29:27,03:08:09
164,2019,W,2958,329,"Funch, Lindsey (USA)",13592,30-34,01:35:32,03:08:12
165,2019,W,2964,331,"Saalinger, Maddison (USA)",20201,30-34,01:33:38,03:08:15
166,2019,W,2970,333,"Kenny, Vanessa (USA)",15195,30-34,01:30:00,03:08:17
167,2019,W,2984,335,"Campanaro, Samantha (USA)",9437,25-29,01:35:17,03:08:23
168,2019,W,2996,337,"Zhang, Angel (USA)",8594,30-34,01:34:42,03:08:26
169,2019,W,3000,339,"Whittaker, Kelly (USA)",10036,30-34,01:29:18,03:08:28
170,2019,W,3022,341,"Hu, Xiaojuan (CHN)",1220,40-44,01:33:37,03:08:38
171,2019,W,3032,343,"Ordzowialy, Julia (USA)",11047,35-39,01:34:37,03:08:45
172,2019,W,3036,345,"Mueller, Katelyn (USA)",13583,25-29,01:33:24,03:08:47
173,2019,W,3059,347,"Hamilton, Stephanie (CAN)",2552,35-39,01:34:18,03:08:57
174,2019,W,3065,349,"Bishop, Chelsea (USA)",6262,25-29,01:30:56,03:08:59
175,2019,W,3068,351,"Montanera, Carlotta Federica (ITA)",4050,35-39,01:33:18,03:09:00
176,2019,W,3075,353,"Mckevitt, Shannon (USA)",37116,20-24,01:34:12,03:09:03
177,2019,W,3108,355,"Desgagnes, Cathy (CAN)",2514,40-44,01:34:18,03:09:16
178,2019,W,3114,357,"Campbell, Colleen (USA)",14466,25-29,01:33:56,03:09:19
179,2019,W,3118,359,"Cheung, Hoi Wah (HKG)",13047,35-39,01:32:45,03:09:20
180,2019,W,3123,361,"Query, Crystal (USA)",13433,40-44,01:34:31,03:09:21
181,2019,W,3132,363,"Chalat, Erin (USA)",10027,55-59,01:33:11,03:09:25
182,2019,W,3139,365,"Giana, Marcella (ITA)",3344,45-49,01:34:33,03:09:27
183,2019,W,3166,367,"Paez Stelzner, Lucy (USA)",17180,35-39,01:29:48,03:09:36
184,2019,W,3180,369,"Andres, Michelle (USA)",11171,40-44,01:32:27,03:09:40
185,2019,W,3193,371,"Glenn, Ashley (USA)",11110,25-29,01:32:46,03:09:45
186,2019,W,3212,373,"Cairney, Helena (AUS)",1541,35-39,01:34:16,03:09:53
187,2019,W,3214,375,"Baeza, Monica (MEX)",5416,30-34,01:31:41,03:09:54
188,2019,W,3238,377,"Hines, Heidi (USA)",8636,30-34,01:32:24,03:10:05
189,2019,W,3249,379,"Gomez Sousa, Ana Belen (ESP)",6556,45-49,01:33:45,03:10:10
190,2019,W,3257,381,"Metcalfe, Andrea (CAN)",2210,45-49,01:33:26,03:10:13
191,2019,W,3272,383,"Knast, Stephanie (USA)",532,30-34,01:29:40,03:10:20
192,2019,W,3277,385,"Attwood, Emma (GBR)",8416,30-34,01:36:15,03:10:22
193,2019,W,3286,387,"Hawryluk, Krystina (USA)",11218,40-44,01:33:38,03:10:24
194,2019,W,3292,389,"Huff, Laura (USA)",506,25-29,01:29:56,03:10:27
195,2019,W,3303,391,"Acuna, Ivannia (CRC)",2374,35-39,01:34:53,03:10:31
196,2019,W,3308,393,"Talebian, Sheeva (USA)",19111,40-44,01:34:29,03:10:33
197,2019,W,3316,395,"Holland, Patricia (USA)",19219,20-24,01:35:27,03:10:36
198,2019,W,3327,397,"Costanzo, Shari (USA)",12429,40-44,01:36:23,03:10:39
199,2019,W,3356,399,"Werner, Nancy (USA)",14512,45-49,01:35:18,03:10:52
200,2019,W,3360,401,"Mognon, Eva Liz (ITA)",15398,30-34,01:35:25,03:10:54
201,2019,W,3367,403,"Rupert, Addie (USA)",11528,25-29,01:36:17,03:10:56
202,2019,W,3390,405,"Jaffke, Nicole (USA)",9663,20-24,01:38:17,03:11:07
203,2019,W,3395,407,"Williams, Melissa (USA)",10578,40-44,01:32:51,03:11:09
204,2019,W,3408,409,"Hill, Natalie (USA)",2614,20-24,01:33:57,03:11:16
205,2019,W,3412,411,"Hobeika, Allison (CAN)",2130,45-49,01:32:41,03:11:16
206,2019,W,3436,413,"Li, Jun (CAN)",2500,45-49,01:35:48,03:11:24
207,2019,W,3444,415,"Gullo, Victoria (USA)",11808,25-29,01:36:07,03:11:27
208,2019,W,3456,417,"Blanchard, Christie (USA)",1248,45-49,01:33:30,03:11:33
209,2019,W,3482,419,"Gillman, Jess (USA)",20470,30-34,01:34:37,03:11:42
210,2019,W,3487,421,"Louthan, Meg Pond (USA)",17598,50-54,01:35:28,03:11:44
211,2019,W,3495,423,"Wu, Xiaofang (CHN)",3468,40-44,01:35:59,03:11:46
212,2019,W,3515,425,"Weaver, Loralee (USA)",14534,40-44,01:35:41,03:11:53
213,2019,W,3524,427,"Zykova, Ekaterina (RUS)",4319,25-29,01:36:27,03:11:57
214,2019,W,3532,429,"Mitchen, Diana (USA)",8557,35-39,01:35:08,03:12:00
215,2019,W,3538,431,"Wankowski, Julie (USA)",682,45-49,01:34:32,03:12:01
216,2019,W,3544,433,"Agee, Ellen (USA)",11292,25-29,01:32:39,03:12:04
217,2019,W,3564,435,"Woodward, Katy (GBR)",5261,35-39,01:35:26,03:12:12
218,2019,W,3570,437,"Reid, Renae (AUS)",1545,30-34,01:34:04,03:12:13
219,2019,W,3579,439,"Fingello, Kate (USA)",7972,40-44,01:34:28,03:12:16
220,2019,W,3583,441,"Ludington, Johannah (USA)",551,30-34,01:34:05,03:12:20
221,2019,W,3590,443,"Stroyberg, Katrine (DEN)",9383,40-44,01:34:37,03:12:25
222,2019,W,3596,445,"Michaels, Mary (USA)",13007,35-39,01:36:08,03:12:27
223,2019,W,3604,447,"Pavela, Kimberly (USA)",14186,25-29,01:33:46,03:12:29
224,2019,W,3606,449,"Reisman, Christine (USA)",11848,30-34,01:36:01,03:12:29
225,2019,W,3616,451,"Devereux, Lisa (USA)",14368,30-34,01:36:30,03:12:35
226,2019,W,3624,453,"Fukuda, Takako (JPN)",1080,45-49,01:35:24,03:12:38
227,2019,W,3632,455,"Agu, Valentina (ITA)",5412,30-34,01:36:24,03:12:40
228,2019,W,3645,457,"Pierce, Lauren (USA)",8201,25-29,01:36:18,03:12:46
229,2019,W,3651,459,"Gendron, Kristin (USA)",9490,30-34,01:35:26,03:12:47
230,2019,W,3658,461,"Ferreira Lima, Lia (POR)",4300,40-44,01:35:24,03:12:50
231,2019,W,3665,463,"Banks, Angie (USA)",11660,35-39,01:37:36,03:12:51
232,2019,W,3674,465,"Fernandez Ortuno, Carolina (ESP)",6564,25-29,01:35:06,03:12:55
233,2019,W,3684,467,"Calderon Jimenez, Natalia (CRC)",2370,25-29,01:35:17,03:12:59
234,2019,W,3702,469,"Rennie, Heather (USA)",10513,30-34,01:35:40,03:13:10
235,2019,W,3714,471,"Huson, Monica (USA)",13599,35-39,01:36:25,03:13:13
236,2019,W,3730,473,"Gin, Lindsay (USA)",12558,30-34,01:38:49,03:13:20
237,2019,W,3743,475,"De Bruin, Sanne (NED)",17238,30-34,01:33:51,03:13:25
238,2019,W,3749,477,"Hofleitner, Aude (FRA)",13515,30-34,01:35:59,03:13:27
239,2019,W,3782,479,"Fellows, Rachel (GBR)",17490,30-34,01:34:34,03:13:37
240,2019,W,3784,481,"Baccala, Ilaria (ITA)",4043,45-49,01:33:20,03:13:38
241,2019,W,3790,483,"Kranefuss, Phoebe (USA)",20896,25-29,01:39:43,03:13:40
242,2019,W,3805,485,"Doran, Rachael (GBR)",7551,30-34,01:35:01,03:13:44
243,2019,W,3812,487,"Gudyma, Viktoriia (UKR)",7452,25-29,01:33:16,03:13:46
244,2019,W,3822,489,"Ruiz, Alina (MEX)",5511,25-29,01:36:12,03:13:50
245,2019,W,3833,491,"Mckeen, Suzanne (AUS)",1494,45-49,01:35:15,03:13:54
246,2019,W,3843,493,"Milton, Michelle (USA)",10478,35-39,01:36:45,03:13:55
247,2019,W,3851,495,"Naab, Jill (USA)",8520,35-39,01:36:46,03:13:58
248,2019,W,3857,497,"Mcniven, Lauren (CAN)",19181,30-34,01:32:01,03:14:00
249,2019,W,3870,499,"Sullivan, Katherine (USA)",8590,30-34,01:36:01,03:14:03
250,2019,W,51,2,"Yeshaneh, Ababel (ETH)",106,25-29,01:08:22,02:20:51
251,2019,W,89,4,"Bates, Emma (USA)",109,25-29,01:12:56,02:25:27
252,2019,W,115,6,"Bruce, Stephanie (USA)",110,35-39,01:12:56,02:27:47
253,2019,W,131,8,"Thweatt, Laura (USA)",108,30-34,01:15:00,02:29:06
254,2019,W,142,10,"Ward, Taylor (USA)",114,25-29,01:15:05,02:30:14
255,2019,W,161,12,"Sellers, Sarah (USA)",120,25-29,01:15:00,02:31:49
256,2019,W,184,14,"Kaneshige, Shiho (JPN)",17142,30-34,01:16:46,02:33:16
257,2019,W,199,16,"Bergman, Jennifer (USA)",124,25-29,01:15:07,02:34:37
258,2019,W,216,18,"Schneider, Alyssa (USA)",122,25-29,01:18:34,02:35:31
259,2019,W,231,20,"Brumelot, Marie-Ange (FRA)",401,25-29,01:18:13,02:36:23
260,2019,W,258,22,"Bareikis, Jane (USA)",718,25-29,01:18:34,02:37:32
261,2019,W,292,24,"Powers, Ashlee (USA)",605,25-29,–,02:39:04
262,2019,W,348,26,"Montgomery, Mckale (USA)",575,35-39,01:21:05,02:40:50
263,2019,W,355,28,"Gentes, Megan (USA)",468,20-24,01:22:05,02:41:07
264,2019,W,358,30,"Cunningham, Megan (USA)",434,20-24,01:22:05,02:41:13
265,2019,W,362,32,"Heenan, Erin (USA)",492,35-39,01:21:04,02:41:15
266,2019,W,385,34,"Dear, Annie (USA)",441,25-29,01:21:05,02:41:52
267,2019,W,393,36,"Selert Faraud, Kir (USA)",645,30-34,01:20:52,02:42:10
268,2019,W,405,38,"Kersjes, Lauren (USA)",527,25-29,01:18:46,02:42:29
269,2019,W,416,40,"Kaulen, Laura (USA)",520,40-44,01:21:15,02:42:48
270,2019,W,423,42,"Mason, Ericka (USA)",563,25-29,01:20:19,02:42:55
271,2019,W,427,44,"Thompson, Joanna (USA)",666,25-29,01:20:18,02:43:01
272,2019,W,437,46,"Rushton (Culver), Jessica (USA)",630,25-29,01:22:20,02:43:12
273,2019,W,453,48,"Njeim, Chirine (LBN)",123,35-39,01:18:36,02:43:31
274,2019,W,460,50,"De La Cruz, Jovana (PER)",113,25-29,01:14:33,02:43:41
275,2019,W,464,52,"Taylor, Katie (USA)",11512,25-29,01:22:55,02:43:43
276,2019,W,468,54,"O'Connor Lenth, Moira (USA)",588,20-24,01:22:14,02:43:55
277,2019,W,483,56,"Bauer, Caroline (USA)",373,35-39,01:21:04,02:44:07
278,2019,W,503,58,"Buford, Julia (USA)",715,25-29,01:22:20,02:44:24
279,2019,W,549,60,"Norbo, Carter (USA)",586,25-29,01:22:43,02:45:38
280,2019,W,555,62,"Roa, Karen (COL)",716,25-29,01:18:17,02:45:47
281,2019,W,557,64,"Scarpin, Maria Regina (ARG)",640,30-34,01:22:05,02:45:48
282,2019,W,580,66,"Allan, Kirsten (USA)",356,25-29,01:21:06,02:46:16
283,2019,W,619,68,"Sober, Jennifer (USA)",655,40-44,01:23:22,02:47:16
284,2019,W,643,70,"De Csepel, Kelly (USA)",13051,35-39,01:23:26,02:47:45
285,2019,W,664,72,"Moody, Polly (CAN)",576,35-39,01:24:10,02:48:02
286,2019,W,680,74,"Beck, Katie (CAN)",378,35-39,01:23:42,02:48:21
287,2019,W,692,76,"Walker, Sarah (USA)",681,25-29,01:22:55,02:48:25
288,2019,W,706,78,"Smith, Jessica (USA)",652,35-39,01:23:48,02:48:39
289,2019,W,741,80,"Blackman, Camille (USA)",390,25-29,01:22:20,02:49:04
290,2019,W,784,82,"Stucky, Raquel (USA)",658,40-44,01:22:09,02:49:37
291,2019,W,795,84,"Minor, Lauren (USA)",573,25-29,01:22:40,02:49:53
292,2019,W,813,86,"Kaulinaite, Neringa (LTU)",521,35-39,01:22:45,02:50:04
293,2019,W,816,88,"Nichols, Ashley (USA)",583,25-29,01:22:56,02:50:08
294,2019,W,825,90,"Baricovich, Laura (USA)",60020,30-34,–,02:50:16
295,2019,W,836,92,"Reid, Ginna (USA)",9008,40-44,01:25:16,02:50:30
296,2019,W,853,94,"Mcardle, Bree (AUS)",17187,30-34,01:25:41,02:50:46
297,2019,W,866,96,"Spannaus, Michaela (USA)",720,25-29,01:24:39,02:50:57
298,2019,W,881,98,"Leer, Anna (USA)",11149,35-39,01:24:41,02:51:10
299,2019,W,886,100,"Jurgens, Nancy (USA)",516,40-44,01:22:05,02:51:15
300,2019,W,892,102,"O'Neil, Victoria (USA)",591,25-29,01:24:30,02:51:17
301,2019,W,941,104,"Lacey, Lana (USA)",536,30-34,01:24:29,02:51:58
302,2019,W,949,106,"Rhie, Julia (USA)",9024,40-44,01:25:21,02:52:03
303,2019,W,975,108,"Sanchez, Rachael (USA)",636,30-34,01:25:42,02:52:28
