,year,gender,place,place_gender,name,bib,division,half,finish
67,2019,M,145,135,"Biebelhausen, Stephen (USA)",385,20-24,01:14:22,02:30:48
68,2019,M,147,137,"Pierce, Jonathan (USA)",726,30-34,01:15:00,02:30:51
69,2019,M,149,139,"Greenlaw, Jerry (USA)",472,30-34,01:13:46,02:30:54
70,2019,M,151,141,"Dai, Chaoguang (CHN)",3076,30-34,01:16:21,02:31:16
71,2019,M,153,143,"Kent, Jeff (USA)",525,30-34,01:15:02,02:31:28
72,2019,M,155,145,"Mixdorf, Matthew (USA)",14047,25-29,01:16:24,02:31:38
73,2019,M,157,147,"Acosta, Jason (USA)",14052,35-39,01:15:22,02:31:40
74,2019,M,160,149,"Cordell, Adam (USA)",10051,25-29,01:14:02,02:31:49
75,2019,M,163,151,"Geeraert, Jeroen (USA)",11147,30-34,01:15:33,02:31:50
76,2019,M,166,153,"Elsayed, Yehia (EGY)",455,30-34,01:11:11,02:32:20
77,2019,M,168,155,"Pedersen, Robert (USA)",9084,20-24,01:11:44,02:32:33
78,2019,M,170,157,"Brasil Silverio, Thiago (BRA)",1137,35-39,01:16:13,02:32:37
79,2019,M,172,159,"Cashin, Conor (USA)",722,25-29,01:12:30,02:32:41
80,2019,M,174,161,"Procknow, Adam (USA)",10031,25-29,01:16:11,02:32:43
81,2019,M,176,163,"Musgrave, Patrick (USA)",11044,25-29,01:17:29,02:32:44
82,2019,M,178,165,"Mayer, Jeffrey (USA)",13069,30-34,01:13:03,02:32:48
83,2019,M,180,167,"Medeiros, J Matthew (USA)",14095,30-34,01:15:51,02:33:05
84,2019,M,182,169,"Rodriguez Pritchard, Alejandro (ESP)",20165,30-34,01:17:01,02:33:08
85,2019,M,185,171,"Burger, Karel (RSA)",6043,35-39,01:15:22,02:33:17
86,2019,M,187,173,"Martin Perez, Oscar (ESP)",6079,35-39,01:16:44,02:33:33
87,2019,M,189,175,"Zhou, Alan (USA)",11160,20-24,01:17:11,02:33:49
88,2019,M,192,177,"Mackay, Tom (AUS)",10001,25-29,01:14:31,02:33:56
89,2019,M,194,179,"Gildersleeve, Kenneth (USA)",9022,25-29,01:17:20,02:34:09
90,2019,M,196,181,"Chan, Garrick (USA)",14096,25-29,01:17:20,02:34:13
91,2019,M,198,183,"Garcia, Miguel (USA)",14001,30-34,01:16:15,02:34:28
92,2019,M,201,185,"Morris, Brendan (GBR)",8042,30-34,01:17:22,02:34:45
93,2019,M,203,187,"Wat, King Long (HKG)",15088,20-24,01:15:21,02:34:48
94,2019,M,205,189,"Janssen, Henry (USA)",14140,25-29,01:16:37,02:34:51
95,2019,M,207,191,"Delaney, Daniel (USA)",13198,25-29,01:16:45,02:34:52
96,2019,M,209,193,"Tai, Wei-Yu (TWN)",7018,35-39,01:17:22,02:35:06
97,2019,M,211,195,"Garcia, Diego (ESP)",6061,40-44,01:17:03,02:35:15
98,2019,M,213,197,"Swiatkowski, Mieczyslaw (USA)",13126,35-39,01:14:33,02:35:19
99,2019,M,217,199,"Mccarron, Lee (CAN)",1182,30-34,01:17:54,02:35:33
100,2019,M,219,201,"White, Thomas (CAN)",15121,30-34,01:17:55,02:35:34
101,2019,M,222,203,"Deligero, Mark (PHI)",13185,35-39,01:17:29,02:35:45
102,2019,M,224,205,"Guerrero, Gerardo (MEX)",18120,35-39,01:15:46,02:35:48
103,2019,M,226,207,"Starosta, Patric (GER)",3090,30-34,01:17:12,02:36:02
104,2019,M,228,209,"Macmurray, Chris (USA)",14136,25-29,01:16:05,02:36:08
105,2019,M,230,211,"Fitzsimmons, Alec (USA)",12100,25-29,01:18:54,02:36:18
106,2019,M,233,213,"Glaubke, Eric (USA)",14054,25-29,01:17:09,02:36:39
107,2019,M,235,215,"Cote, Patrick (CAN)",1173,30-34,01:17:59,02:36:50
108,2019,M,237,217,"Wedgwood, John (GBR)",8020,30-34,01:19:44,02:36:56
109,2019,M,240,219,"Lindgren, Matt (USA)",13023,30-34,01:16:10,02:37:00
110,2019,M,242,221,"Dieleman, Trevor (CAN)",2452,30-34,01:18:14,02:37:05
111,2019,M,244,223,"Satterfield, Joseph (USA)",638,40-44,01:17:29,02:37:14
112,2019,M,246,225,"Tyner, Alexander (USA)",11194,25-29,01:17:49,02:37:17
113,2019,M,248,227,"Fitzpatrick, Thomas (USA)",15142,30-34,01:19:52,02:37:20
114,2019,M,250,229,"Stucker, James (USA)",13088,25-29,01:18:46,02:37:22
115,2019,M,252,231,"Ricalde, Jose (CHI)",2180,35-39,01:17:02,02:37:25
116,2019,M,254,233,"Basinski, Edward (USA)",13009,35-39,01:16:39,02:37:26
117,2019,M,256,235,"Labonte, Jean-Francois (CAN)",1190,30-34,01:18:12,02:37:31
118,2019,M,259,237,"Larue, Bob (USA)",12141,35-39,01:19:29,02:37:33
119,2019,M,261,239,"Bareikis, Arturs (USA)",717,30-34,01:18:33,02:37:40
120,2019,M,263,241,"Pessen, Yotam (GER)",4032,20-24,01:18:19,02:37:46
121,2019,M,265,243,"Kinsella, Ian (IRL)",2141,35-39,01:19:34,02:37:47
122,2019,M,267,245,"Spak, Aaron (USA)",11143,20-24,01:16:07,02:37:52
123,2019,M,269,247,"Fivrin, Ashkan (SWE)",6094,40-44,01:18:02,02:37:54
124,2019,M,271,249,"Davidson, Terry (USA)",439,45-49,01:18:33,02:37:56
125,2019,M,273,251,"Tarbath, Forest (USA)",662,25-29,01:12:56,02:37:58
126,2019,M,275,253,"Salminen, Matthew (USA)",14055,30-34,01:19:01,02:38:10
127,2019,M,277,255,"Morse, John (USA)",14196,30-34,01:20:44,02:38:15
128,2019,M,279,257,"Unternaehrer, Olivier (SUI)",1030,40-44,01:19:47,02:38:25
129,2019,M,281,259,"Diamond, Matthew (USA)",10088,30-34,01:20:00,02:38:34
130,2019,M,283,261,"Gwyn-Jones, Rollo (GBR)",19107,30-34,01:18:00,02:38:35
131,2019,M,286,263,"Seco, Javier Adrian (ARG)",17133,40-44,01:17:58,02:38:46
132,2019,M,288,265,"Smith Iii, Arthur (USA)",14128,20-24,01:17:57,02:38:49
133,2019,M,290,267,"Butler, Liam (GBR)",8043,30-34,01:18:46,02:39:00
134,2019,M,293,269,"Wojdyla, Ryan (USA)",13136,25-29,01:19:32,02:39:06
135,2019,M,295,271,"Eckerman, Eric (USA)",10090,40-44,01:18:37,02:39:15
136,2019,M,297,273,"Woltjer, Joey (USA)",10044,30-34,01:18:27,02:39:19
137,2019,M,299,275,"Boenaa, Bjorn Arve (NOR)",5057,40-44,01:17:02,02:39:25
138,2019,M,301,277,"Zeha, Jeff (USA)",12003,35-39,01:20:28,02:39:28
139,2019,M,303,279,"Reid, Daryl (GBR)",7077,25-29,01:15:44,02:39:30
140,2019,M,305,281,"Okada, Kengo (JPN)",4068,25-29,01:20:59,02:39:30
141,2019,M,308,283,"Urbelionis, Karolis (LTU)",4086,30-34,01:14:42,02:39:36
142,2019,M,310,285,"Chirico, Andrew (USA)",12054,20-24,01:17:17,02:39:37
143,2019,M,312,287,"Bott, John (AUS)",9091,30-34,01:19:46,02:39:40
144,2019,M,314,289,"Wagner, Alex (USA)",11082,25-29,01:18:48,02:39:44
145,2019,M,316,291,"Sugita, Yasushi (JPN)",9052,45-49,01:20:28,02:39:49
146,2019,M,318,293,"Hsu, Li-Chieh (TWN)",14155,30-34,01:17:33,02:39:51
147,2019,M,320,295,"Soszka, Marcin (POL)",5096,35-39,01:18:02,02:39:55
148,2019,M,322,297,"Butcher, John (USA)",405,25-29,01:20:58,02:39:56
149,2019,M,324,299,"Sanchez Perez, Jose Antonio (ESP)",6067,35-39,01:18:16,02:39:58
150,2019,M,326,301,"Renikoff, Sam (USA)",13077,20-24,01:21:52,02:40:00
151,2019,M,328,303,"Sliwa, Max (USA)",14158,25-29,01:19:59,02:40:05
152,2019,M,330,305,"Taylor, Randall (USA)",19118,35-39,01:20:51,02:40:09
153,2019,M,332,307,"Sand, Vegard Lyngvi (NOR)",5058,35-39,01:19:34,02:40:14
154,2019,M,333,308,"Hojnacki, Jeff (USA)",11014,45-49,01:21:25,02:40:17
155,2019,M,336,311,"Senter, Mark (GBR)",13081,40-44,01:19:53,02:40:21
156,2019,M,338,313,"Vaughan, Tim (USA)",12143,30-34,01:19:54,02:40:23
157,2019,M,340,315,"Palmer, Michael (USA)",11049,30-34,01:20:03,02:40:25
158,2019,M,342,317,"Bade, Jonathan (USA)",1054,35-39,01:21:32,02:40:32
159,2019,M,344,319,"Hia, Caleb (SIN)",12152,25-29,01:20:14,02:40:33
160,2019,M,346,321,"Abel, Jonathan (GBR)",7091,35-39,01:21:01,02:40:42
161,2019,M,349,323,"Thor, Matthew (USA)",11079,30-34,01:21:23,02:40:50
162,2019,M,351,325,"Cameron, Justin (USA)",9020,30-34,01:21:12,02:40:57
163,2019,M,354,327,"Drowne, Jeremy (USA)",15006,40-44,01:17:36,02:41:03
164,2019,M,359,329,"Yitref, Gedion (USA)",11195,25-29,01:18:17,02:41:14
165,2019,M,364,331,"Fernandez, Nestor (CHI)",2160,30-34,01:19:48,02:41:17
166,2019,M,366,333,"Hoffmann, Hayden (USA)",12008,25-29,01:21:25,02:41:18
167,2019,M,368,335,"Naughton, Neal (USA)",15141,30-34,01:21:26,02:41:21
168,2019,M,370,337,"Boland, Will (USA)",19122,35-39,01:21:29,02:41:25
169,2019,M,372,339,"Raczynski, Pawel (POL)",18127,25-29,01:16:58,02:41:27
170,2019,M,374,341,"Thomas, Ian (USA)",9076,30-34,01:20:46,02:41:32
171,2019,M,376,343,"Rimkevicius, Ignas (LTU)",4085,25-29,01:19:09,02:41:34
172,2019,M,378,345,"Conroy, Michael (AUS)",13050,30-34,01:20:39,02:41:34
173,2019,M,380,347,"Chen, Cheng Yen (TWN)",7014,30-34,01:19:25,02:41:38
174,2019,M,382,349,"Toupin, Marc-Olivier (CAN)",2154,30-34,01:20:58,02:41:46
175,2019,M,384,351,"De Vivo, Paolo (ITA)",10087,30-34,01:20:07,02:41:51
176,2019,M,387,353,"Vallee, Gregoire (CAN)",2123,35-39,01:20:58,02:41:58
177,2019,M,390,355,"Manzanares, Alberto (ESP)",6081,50-54,01:19:54,02:42:05
178,2019,M,392,357,"Rodriguez Garrapucho, Juan Manuel (ESP)",6085,35-39,01:19:33,02:42:09
179,2019,M,395,359,"Byrd, Rob (USA)",11095,30-34,01:20:40,02:42:10
180,2019,M,397,361,"Tayeri, Thomas (USA)",13138,55-59,01:21:12,02:42:13
181,2019,M,399,363,"Thery, Domenico (FRA)",3064,30-34,01:20:53,02:42:22
182,2019,M,401,365,"Jordan, Jeramey (USA)",515,30-34,01:16:08,02:42:25
183,2019,M,404,367,"Ford, Aaron (USA)",13022,30-34,01:20:15,02:42:29
184,2019,M,407,369,"Eckroth, Brandon (USA)",12196,20-24,01:21:14,02:42:31
185,2019,M,409,371,"Atkinson, Chase (USA)",12077,25-29,01:18:17,02:42:36
186,2019,M,411,373,"Napier-Jameson, Matthew (RSA)",10042,25-29,01:21:51,02:42:42
187,2019,M,413,375,"Tomaszewski, Jeff (USA)",668,40-44,01:17:48,02:42:44
188,2019,M,417,377,"Mckeown, Mark (GBR)",7070,35-39,01:19:44,02:42:48
189,2019,M,419,379,"Rieger, Cameron (USA)",708,25-29,01:11:59,02:42:52
190,2019,M,421,381,"Eggs, Alex (GBR)",7087,25-29,01:19:09,02:42:53
191,2019,M,425,383,"Arreguin, Anthony (USA)",10056,25-29,01:20:55,02:42:59
192,2019,M,429,385,"Harris, John (USA)",12132,35-39,01:22:04,02:43:05
193,2019,M,431,387,"Morrison, Mathieu (CAN)",1170,35-39,01:21:15,02:43:08
194,2019,M,433,389,"Shiohira, Jacob (USA)",9049,20-24,01:18:45,02:43:10
195,2019,M,436,391,"Van Drunen, Floris (NED)",5047,25-29,01:19:25,02:43:11
196,2019,M,440,393,"Polojan, Razvan (FRA)",3061,35-39,01:20:31,02:43:16
197,2019,M,442,395,"Baghdassarian, Zareh (USA)",13040,25-29,01:22:34,02:43:19
198,2019,M,444,397,"Ogden, Luke (USA)",11098,25-29,01:22:34,02:43:21
199,2019,M,446,399,"Waite, Steven (USA)",15116,25-29,01:21:48,02:43:23
200,2019,M,448,401,"Tremblay, Remi (CAN)",2107,30-34,01:20:58,02:43:26
201,2019,M,450,403,"Duss, Jeremy (USA)",13005,40-44,01:22:28,02:43:28
202,2019,M,452,405,"Lavelle, Stephen (USA)",17104,20-24,01:16:26,02:43:30
203,2019,M,455,407,"Mescal, Jeff (USA)",12053,50-54,01:20:10,02:43:34
204,2019,M,458,409,"Mei, Xiaojiong (CHN)",3002,35-39,01:20:03,02:43:36
205,2019,M,462,411,"Parekh, Anand (USA)",11050,45-49,01:21:23,02:43:42
206,2019,M,466,413,"Fortin, Regis (CAN)",1167,40-44,01:21:27,02:43:46
207,2019,M,469,415,"Thompson, Bobby (USA)",11125,25-29,01:20:03,02:43:56
208,2019,M,472,417,"Dawson, Matt (AUS)",1109,30-34,01:22:44,02:44:00
209,2019,M,474,419,"Boulay, Pierre (CAN)",2125,50-54,01:20:01,02:44:01
210,2019,M,476,421,"Donaldson, Stuart (AUS)",1093,35-39,01:21:28,02:44:03
211,2019,M,478,423,"Turner, Michael (GBR)",1110,50-54,01:22:53,02:44:04
212,2019,M,480,425,"Nielsen, Rene (DEN)",3031,35-39,01:20:39,02:44:05
213,2019,M,482,427,"Oueslati, Mohamed (FRA)",3056,30-34,01:22:01,02:44:06
214,2019,M,485,429,"Kolarcik, Marek (SVK)",6033,40-44,01:21:02,02:44:09
215,2019,M,487,431,"Commons, Lewis (IRL)",7093,25-29,01:20:48,02:44:09
216,2019,M,489,433,"Kelly, Christopher (USA)",13062,35-39,01:21:55,02:44:10
217,2019,M,491,435,"Baldwin, Christopher (USA)",17158,30-34,01:21:18,02:44:12
218,2019,M,493,437,"Muzelle, Charles (FRA)",3066,40-44,01:19:35,02:44:14
219,2019,M,495,439,"Arpin, Brett (USA)",9002,30-34,01:19:44,02:44:16
220,2019,M,497,441,"Rielley, Jeremy (USA)",14121,30-34,01:22:13,02:44:18
221,2019,M,500,443,"Stroupe, David (USA)",13087,35-39,01:22:31,02:44:20
222,2019,M,502,445,"Chantillon, Vincent (BEL)",1126,25-29,01:21:24,02:44:23
223,2019,M,505,447,"Vanderplaats, Kyle (USA)",13141,20-24,01:22:32,02:44:32
224,2019,M,507,449,"Hall, Tom (USA)",12092,40-44,01:21:50,02:44:33
225,2019,M,509,451,"Esmaili, Armond (USA)",35598,30-34,01:23:29,02:44:34
226,2019,M,511,453,"Selke, Greg (USA)",13097,25-29,01:17:48,02:44:34
227,2019,M,513,455,"Aman, Casey (USA)",12038,20-24,01:25:22,02:44:38
228,2019,M,515,457,"Sargent, Andy (AUS)",20106,35-39,01:21:27,02:44:40
229,2019,M,517,459,"Shaw, Timothy (USA)",16618,30-34,01:21:28,02:44:40
230,2019,M,519,461,"Ziluca, Daniel (USA)",1074,35-39,01:22:52,02:44:41
231,2019,M,521,463,"Brancato, William (USA)",14038,25-29,01:17:57,02:44:45
232,2019,M,523,465,"Brun, Nicolas (FRA)",3054,30-34,01:20:05,02:44:46
233,2019,M,525,467,"Alloway, Kevin (USA)",11131,25-29,01:23:28,02:44:51
234,2019,M,528,469,"Barra, Felipe (CHI)",2163,35-39,01:23:42,02:44:54
235,2019,M,530,471,"Mercer, Dickson (USA)",571,35-39,01:15:40,02:44:58
236,2019,M,532,473,"Bell, Finlay (GBR)",20103,30-34,01:22:33,02:45:02
237,2019,M,534,475,"Amaral, Adrian (USA)",8361,30-34,01:21:50,02:45:04
238,2019,M,536,477,"Devlin, Benedict (GBR)",7096,30-34,01:21:47,02:45:09
239,2019,M,538,479,"Edelman, Sean (USA)",17167,25-29,01:20:54,02:45:11
240,2019,M,540,481,"Harris, Bradley (USA)",14125,40-44,01:22:11,02:45:16
241,2019,M,542,483,"Vaizmuzys, Justinas (LTU)",4087,30-34,01:19:59,02:45:21
242,2019,M,544,485,"Cohen, Danny (AUS)",422,40-44,01:19:19,02:45:25
243,2019,M,546,487,"Blake, Tim (USA)",14276,35-39,01:23:41,02:45:35
244,2019,M,548,489,"Baddiley, Nicolas (AUS)",368,40-44,01:20:06,02:45:38
245,2019,M,552,491,"Stone, Chris (GBR)",8026,25-29,01:22:43,02:45:41
246,2019,M,554,493,"Soisch, Dennis (USA)",3089,25-29,01:21:13,02:45:45
247,2019,M,559,495,"Appolonio, Andrea (ITA)",15102,45-49,01:25:15,02:45:51
248,2019,M,561,497,"Polansky, Micah (USA)",10335,35-39,01:22:58,02:45:53
249,2019,M,563,499,"Anderson, Turner (USA)",6240,25-29,01:22:16,02:45:56
250,2019,M,2,2,"Debela, Dejene (ETH)",38,20-24,01:02:16,02:05:46
251,2019,M,4,4,"Karoki, Bedan (KEN)",9,25-29,01:02:15,02:05:53
252,2019,M,6,6,"Tura, Seifu (ETH)",39,20-24,01:02:15,02:08:35
253,2019,M,8,8,"Farah, Mo (GBR)",1,35-39,01:02:54,02:09:58
254,2019,M,10,10,"Mock, Jerrell (USA)",36,20-24,01:05:25,02:10:37
255,2019,M,12,12,"Bumbalough, Andrew (USA)",20,30-34,01:05:25,02:10:56
256,2019,M,14,14,"Mcdonald, Matthew (USA)",21,25-29,01:05:25,02:11:10
257,2019,M,16,16,"Gregg, Brendan (USA)",17,30-34,01:05:25,02:11:38
258,2019,M,18,18,"Given, Wilkerson (USA)",24,25-29,01:05:26,02:11:44
259,2019,M,20,20,"Hayakawa, Tsubasa (JPN)",14,25-29,01:05:25,02:12:25
260,2019,M,22,22,"Shrader, Brian (USA)",18,25-29,01:05:54,02:13:27
261,2019,M,25,24,"Kremske, Daniel (USA)",31,30-34,01:07:44,02:14:53
262,2019,M,27,26,"Mickow, Colin (USA)",572,25-29,01:07:57,02:14:55
263,2019,M,29,28,"Mazaheri, Bijan (USA)",706,25-29,01:07:57,02:15:26
264,2019,M,31,30,"Lennon, Daniel (USA)",544,25-29,01:06:07,02:16:08
265,2019,M,33,32,"Ortiz Perez, Daniel (MEX)",592,35-39,01:07:44,02:16:50
266,2019,M,35,34,"Wiley, Turner (USA)",687,25-29,01:09:01,02:17:00
267,2019,M,37,36,"Peloquin, Conner (USA)",598,25-29,01:09:01,02:17:02
268,2019,M,39,38,"Cross, Will (USA)",432,25-29,01:09:02,02:17:33
269,2019,M,41,40,"May, Christopher (USA)",564,25-29,01:09:02,02:18:34
270,2019,M,43,42,"Campbell, Patrick (USA)",407,20-24,01:07:44,02:18:51
271,2019,M,45,44,"Smith, Ryan (USA)",651,20-24,01:08:25,02:19:22
272,2019,M,47,46,"Bang, Eric (CAN)",370,25-29,01:08:22,02:19:56
273,2019,M,49,48,"Thomas, Jason (USA)",665,25-29,01:09:53,02:20:28
274,2019,M,53,50,"Craighead, Daniel (USA)",430,25-29,01:09:22,02:21:15
275,2019,M,55,52,"Chorney, Matt (USA)",417,30-34,01:09:53,02:21:28
276,2019,M,57,54,"Bramblett, Jordan (USA)",13197,20-24,01:07:30,02:21:40
277,2019,M,59,56,"Nelson, Aaron (USA)",582,25-29,01:09:12,02:21:42
278,2019,M,61,58,"Guillen, Ramiro (USA)",475,35-39,01:08:22,02:22:00
279,2019,M,63,60,"Barker, Zachary (USA)",371,25-29,01:09:09,02:22:18
280,2019,M,65,62,"Rylaarsdam, Andrew (USA)",713,20-24,01:10:20,02:22:27
281,2019,M,67,64,"Ruth, Marius (NOR)",5060,25-29,01:10:01,02:22:33
282,2019,M,69,66,"Williams, Nathanael (USA)",688,25-29,01:08:10,02:22:46
283,2019,M,71,68,"Zhou, Fan (USA)",699,30-34,01:09:53,02:23:00
284,2019,M,73,70,"Diaz, Cesar (CHI)",2168,30-34,01:09:59,02:23:22
285,2019,M,75,72,"Moncrieff, Ryan (USA)",12173,25-29,01:11:27,02:23:54
286,2019,M,77,74,"Smith, Kent (USA)",653,25-29,01:11:35,02:24:09
287,2019,M,79,76,"Chu, Meng-Tsung (TWN)",418,35-39,01:10:39,02:24:44
288,2019,M,81,78,"Clevenger, Stephen (USA)",421,30-34,01:12:52,02:24:54
289,2019,M,83,80,"Woodman, Aaron (GBR)",1081,30-34,01:11:46,02:24:57
290,2019,M,85,82,"Ellis, Brandon (USA)",12088,25-29,01:11:45,02:25:14
291,2019,M,87,84,"Poulin, Simon (CAN)",604,35-39,01:12:56,02:25:21
292,2019,M,90,86,"Randall, Jack (USA)",611,25-29,01:12:55,02:25:30
293,2019,M,92,88,"Cartwright, Andrew (USA)",411,25-29,01:10:24,02:25:31
294,2019,M,94,90,"Vangampleare, Stephen (USA)",675,25-29,01:09:52,02:25:36
295,2019,M,96,92,"Krieg, Sam (USA)",535,40-44,01:11:34,02:25:59
296,2019,M,98,94,"Purcella, Corey (USA)",607,25-29,01:12:56,02:26:02
297,2019,M,100,96,"Hsiao, Yu (TWN)",505,25-29,01:10:52,02:26:05
298,2019,M,102,98,"Schneider, Ben (USA)",644,35-39,01:12:57,02:26:21
299,2019,M,104,100,"Alvarez, Recio (DOM)",3041,40-44,01:12:46,02:26:36
300,2019,M,106,102,"Niemiec, Joseph (USA)",585,25-29,01:09:53,02:26:47
301,2019,M,109,104,"Conn, Joel (USA)",13119,35-39,01:14:10,02:27:11
302,2019,M,111,106,"Hartshorn, Chris (NZL)",485,45-49,01:13:45,02:27:28
303,2019,M,113,108,"Costello, Gregory (USA)",426,35-39,01:14:45,02:27:40
304,2019,M,116,110,"Azocar, Kevin (CAN)",367,25-29,01:12:56,02:27:50
305,2019,M,118,112,"Andersen, Jordan (USA)",357,35-39,01:13:46,02:27:57
306,2019,M,120,114,"Sanchez Guevara, Aurelio (CRC)",3019,30-34,01:13:33,02:28:08
307,2019,M,123,116,"Miller, Zak (USA)",19156,30-34,01:13:47,02:28:43
308,2019,M,125,118,"Cabada, Lupe (USA)",406,30-34,01:12:57,02:28:53
